condition,train_script,test_script,vocab_size_requested,vocab_size_model,lang,n_words,fertility,fragmentation_rate,coverage,model_path,test_path
tt_only,native,native,4000,4000,tt,1962331,1.784819686,0.1527163358,0.9975029697,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
tt_only,native,normalized,4000,4000,tt,1962331,4.672477273,0.8061203742,0.9306151714,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr,native,native,4000,4000,tt,1962331,6.938697396,0.9040539032,0.3230341874,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr,native,normalized,4000,4000,tt,1962331,4.079903951,0.7659518195,0.9556654815,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk,native,native,4000,4000,tt,1962331,4.373467575,0.7975265131,0.9607762401,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk,native,normalized,4000,4000,tt,1962331,4.182174669,0.7844915053,0.8951033235,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk_tt,native,native,4000,4000,tt,1962331,2.281117712,0.2905065455,0.9993380322,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk_tt,native,normalized,4000,4000,tt,1962331,4.180976604,0.7829555768,0.9558902142,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
byte_fallback_bpe,native,native,4000,4000,tt,1962331,2.325626513,0.3491194911,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
byte_fallback_bpe,native,normalized,4000,4000,tt,1962331,3.928787753,0.7543951556,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
tt_only,native,native,8000,8000,tt,1962331,1.560220982,0.1108324742,0.997631898,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
tt_only,native,normalized,8000,8000,tt,1962331,3.799124613,0.7188542606,0.9305530005,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
tt_only,native,native,16000,16000,tt,1962331,1.484995141,0.08879388849,0.997631898,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
